"order_id","customer_id","product_id","quantity","order_ts","discount","channel","note"
"37","88","4","5","2024-02-22T11:06:04.000000","0.05","app","  "
"38","82","7","4","2024-02-14T21:26:40.000000","0.29","app"," OK "
"39","86","9","4","2024-03-17T07:37:43.000000","0.06","store","urgent"
"40","191","19","4","2024-02-17T19:50:52.000000","0.29","web"," OK "
"41","57","28","5","2024-02-16T12:42:30.000000","0.23","store","gift "
"42","151","8","4","2024-01-10T10:45:22.000000","0.19","web","  "
"43","126","5","4","2024-01-02T23:23:11.000000","","app"," OK "
"44","13","4","1","2024-02-05T20:52:24.000000","0.1","web","VIP"
"45","98","33","5","2024-03-30T20:07:30.000000","0.19","web","gift "
"46","39","2","4","2024-03-23T13:26:57.000000","0.06","web","  "
"47","146","26","1","2024-02-26T14:35:46.000000","0.28","store","return?"
"48","90","24","2","2024-02-26T18:35:51.000000","0.09","app","  "
"49","72","5","2","2024-02-05T05:38:52.000000","0.08","store"," OK "
"50","14","23","2","2024-01-16T23:24:51.000000","0.21","web","VIP"
"51","27","12","5","2024-01-01T18:27:39.000000","0.2","web","return?"
"52","153","21","3","2024-01-31T11:55:41.000000","","web"," OK "
"53","173","6","3","2024-01-29T11:34:16.000000","0.19","web","gift "
"54","59","27","4","2024-01-18T05:51:45.000000","0.05","web","gift "
"55","166","32","2","2024-01-24T07:48:02.000000","0.2","store","urgent"
"56","111","1","5","2024-01-03T05:37:04.000000","0.08","store","urgent"
"57","71","22","4","2024-02-24T17:11:38.000000","0.08","web","VIP"
"58","91","26","2","2024-03-24T11:18:52.000000","0.05","web","Gift"
"59","139","1","4","2024-03-03T04:07:40.000000","0.1","app","gift "
"60","182","29","3","2024-02-10T08:07:40.000000","0.1","app","VIP"
"61","99","22","2","2024-02-07T19:46:45.000000","0.14","app","gift "
"62","70","13","5","2024-01-28T16:16:32.000000","0.06","app","return?"
"63","153","20","2","2024-01-13T19:35:49.000000","0.06","web","gift "
"64","106","28","1","2024-02-23T20:42:38.000000","0.16","web","return?"
"65","79","26","3","2024-02-20T23:41:30.000000","0.04","store","urgent"
"66","92","32","3","2024-01-01T15:47:57.000000","0.21","app","return?"
"67","108","2","1","2024-02-07T09:31:35.000000","0.28","store"," OK "
"68","29","32","4","2024-01-26T00:31:39.000000","0.13","web","VIP"
"69","12","2","2","2024-01-16T07:48:30.000000","0.27","app","  "
"70","133","27","1","2024-03-04T06:33:08.000000","0.03","web","gift "
"71","35","14","3","2024-02-17T07:47:04.000000","0.01","store","return?"
"72","107","3","1","2024-02-27T00:56:33.000000","0.22","web","  "
"73","157","28","4","2024-03-05T05:07:13.000000","0.23","app","  "
"74","43","23","1","2024-03-29T08:42:03.000000","0.25","web","VIP"
"75","77","27","3","2024-03-13T05:58:02.000000","","web","VIP"
"76","196","16","1","2024-02-25T19:58:21.000000","0.23","web","urgent"
"77","8","12","2","2024-03-20T02:41:11.000000","0.11","app","VIP"
"78","152","25","5","2024-02-12T23:24:45.000000","0.09","app","  "
"79","34","9","4","2024-03-29T15:05:45.000000","0.05","store"," OK "
"80","182","33","3","2024-03-09T12:41:39.000000","0.3","app","return?"
"81","83","28","1","2024-02-28T13:54:28.000000","0.02","app","VIP"
"82","2","40","2","2024-03-22T07:11:17.000000","0.25","app","return?"
"83","144","2","2","2024-02-16T08:34:13.000000","0.19","web","VIP"
"84","30","24","3","2024-03-05T20:42:11.000000","0.22","app","Gift"
"85","73","23","2","2024-01-26T15:01:07.000000","0.21","app","Gift"
"86","101","35","5","2024-03-27T16:32:10.000000","0.26","app","urgent"
"87","150","17","4","2024-02-26T02:28:24.000000","","web","Gift"
"88","84","38","2","2024-03-11T09:07:52.000000","0.0","web"," OK "
"89","172","10","1","2024-02-11T11:11:36.000000","0.18","web","VIP"
"90","97","35","3","2024-03-19T00:17:27.000000","0.11","store","VIP"
"91","69","21","3","2024-01-07T16:13:27.000000","0.04","app","return?"
"92","68","38","4","2024-01-11T06:27:53.000000","0.06","app","gift "
"93","161","9","3","2024-02-15T15:22:17.000000","0.1","web","return?"
"94","133","11","4","2024-03-06T22:00:47.000000","0.02","app","urgent"
"95","26","23","5","2024-03-13T19:54:47.000000","0.02","web","gift "
"96","151","23","3","2024-02-09T14:35:29.000000","0.27","web","VIP"
"97","84","6","4","2024-02-28T11:17:38.000000","0.09","app","VIP"
"98","70","27","2","2024-02-19T18:42:15.000000","0.29","web","VIP"
"99","20","17","5","2024-03-27T12:53:22.000000","0.29","web","gift "
"100","200","7","3","2024-02-28T20:51:40.000000","0.04","web"," OK "
"101","11","21","4","2024-02-07T12:22:58.000000","0.21","web","return?"
"102","200","28","5","2024-03-28T06:48:02.000000","0.18","store","Gift"
"103","13","2","2","2024-01-10T15:39:59.000000","0.21","app","  "
"104","102","37","1","2024-03-29T14:41:19.000000","0.03","store"," OK "
"105","21","25","2","2024-01-14T20:40:05.000000","0.06","store","return?"
"106","99","11","2","2024-01-26T22:34:22.000000","0.02","web","urgent"
"107","168","31","1","2024-03-14T22:22:31.000000","0.18","web","return?"
"108","119","34","3","2024-03-07T00:54:27.000000","0.3","app","VIP"
"109","109","39","2","2024-03-28T07:57:54.000000","0.2","web","Gift"
"110","24","32","1","2024-03-08T11:57:51.000000","0.21","store","Gift"
"111","190","9","1","2024-02-27T07:56:18.000000","0.3","web","return?"
"112","76","7","2","2024-02-01T04:25:28.000000","","app","  "
"113","108","9","2","2024-01-01T10:10:44.000000","0.01","app","  "
"114","180","36","5","2024-01-12T03:33:31.000000","0.26","store","  "
"115","126","13","4","2024-01-27T19:11:55.000000","0.11","app","urgent"
"116","147","14","4","2024-01-04T16:26:43.000000","0.0","app"," OK "
"117","37","36","4","2024-02-15T17:40:04.000000","0.15","web"," OK "
"118","93","9","5","2024-03-10T23:03:40.000000","0.28","app","Gift"
"119","109","17","2","2024-03-27T16:37:48.000000","0.08","app","  "
"120","36","12","1","2024-02-14T01:45:05.000000","0.15","app","Gift"
"121","78","13","3","2024-03-19T18:00:39.000000","","app","urgent"
"122","167","24","1","2024-03-29T16:46:00.000000","0.02","web","Gift"
"123","187","30","2","2024-03-18T09:13:46.000000","0.02","web","urgent"
"124","165","11","4","2024-02-11T20:20:33.000000","0.22","store","gift "
"125","187","2","3","2024-01-30T06:33:44.000000","0.26","web","gift "
"126","200","26","4","2024-03-29T00:18:02.000000","0.04","app","urgent"
"127","40","22","3","2024-01-22T18:31:44.000000","0.09","app"," OK "
"128","172","27","3","2024-02-07T01:00:14.000000","0.06","store"," OK "
"129","125","19","2","2024-01-07T15:54:21.000000","0.01","web","Gift"
"130","172","32","2","2024-03-12T10:21:12.000000","","web","urgent"
"131","128","25","2","2024-02-28T11:38:53.000000","0.21","store","VIP"
"132","25","31","4","2024-01-08T15:12:34.000000","0.19","app","urgent"
"133","113","30","5","2024-01-20T23:21:52.000000","0.12","app"," OK "
"134","153","20","1","2024-02-19T23:47:50.000000","0.17","web","  "
"135","25","13","3","2024-02-18T15:17:24.000000","0.03","web","  "
"136","101","24","3","2024-03-13T04:26:56.000000","0.05","store","  "
"137","131","26","3","2024-01-24T22:46:13.000000","0.28","app","urgent"
"138","93","23","2","2024-03-24T05:21:20.000000","","store","  "
"139","160","21","1","2024-02-10T00:03:47.000000","0.28","store","return?"
"140","26","14","2","2024-03-15T00:46:46.000000","0.28","app","  "
"141","70","6","1","2024-01-22T10:54:11.000000","0.19","app","Gift"
"142","191","18","1","2024-01-04T07:51:24.000000","0.28","app","gift "
"143","103","36","2","2024-01-05T22:54:57.000000","0.13","app","VIP"
"144","37","29","4","2024-02-03T13:02:13.000000","0.0","app","urgent"
"145","24","31","5","2024-03-26T18:48:38.000000","0.02","web","VIP"
"146","119","30","4","2024-01-05T09:11:19.000000","0.03","store","urgent"
"147","187","37","1","2024-02-03T04:59:33.000000","0.03","app","return?"
"148","10","10","2","2024-01-10T20:02:59.000000","0.11","store"," OK "
"149","22","29","2","2024-03-24T20:10:46.000000","0.21","web","gift "
"150","76","3","2","2024-03-01T18:39:36.000000","0.24","web","Gift"
"151","42","10","5","2024-03-09T15:24:49.000000","0.18","app","gift "
"152","25","2","4","2024-03-05T04:38:15.000000","0.04","app","Gift"
"153","60","18","3","2024-02-29T03:10:38.000000","","web"," OK "
"154","129","6","3","2024-03-10T15:14:12.000000","0.11","web","return?"
"155","166","16","2","2024-01-01T17:32:58.000000","0.0","app","gift "
"156","62","6","3","2024-03-18T21:23:10.000000","0.08","store","  "
"157","141","2","4","2024-03-07T14:06:29.000000","0.1","web","gift "
"158","165","20","5","2024-03-07T13:10:19.000000","0.08","web","gift "
"159","2","17","3","2024-02-05T09:49:22.000000","0.24","web","  "
"160","171","17","1","2024-03-13T01:52:57.000000","0.23","web","Gift"
"161","37","14","5","2024-02-04T08:43:39.000000","0.21","web"," OK "
"162","138","17","2","2024-01-05T09:45:41.000000","0.04","app"," OK "
"163","151","1","1","2024-03-22T16:53:08.000000","","app","gift "
"164","170","20","3","2024-01-22T02:35:45.000000","0.2","web","urgent"
"165","81","34","4","2024-01-10T04:06:15.000000","0.06","web","gift "
"166","132","6","2","2024-02-25T23:17:57.000000","0.19","store","  "
"167","6","6","2","2024-01-22T00:41:27.000000","0.15","web","  "
"168","90","32","2","2024-03-18T05:33:02.000000","0.13","app","urgent"
"169","193","21","5","2024-02-09T22:30:02.000000","0.03","web","  "
"170","32","11","5","2024-01-01T09:43:12.000000","0.16","app","return?"
"171","31","32","5","2024-03-26T15:42:40.000000","0.03","app","Gift"
"172","141","13","2","2024-02-16T07:35:57.000000","0.05","web"," OK "
"173","103","25","5","2024-01-24T16:01:51.000000","","app","gift "
"174","91","23","2","2024-03-01T22:56:26.000000","0.29","app","  "
"175","50","7","5","2024-02-17T18:07:07.000000","0.09","web","Gift"
"176","35","31","5","2024-01-03T15:57:06.000000","0.11","app","  "
"177","148","25","4","2024-03-09T08:50:17.000000","0.1","web","VIP"
"178","72","9","5","2024-02-06T02:55:40.000000","","web","  "
"179","156","31","1","2024-03-03T23:36:20.000000","0.17","store","VIP"
"180","89","25","4","2024-03-21T14:34:16.000000","0.28","web","urgent"
"181","80","35","1","2024-02-24T22:55:25.000000","0.09","web","Gift"
"182","47","33","4","2024-03-01T10:41:01.000000","0.03","web","gift "
"183","132","13","2","2024-01-23T22:02:39.000000","0.17","store","urgent"
"184","57","38","5","2024-01-22T09:20:31.000000","0.1","web","return?"
"185","182","2","3","2024-02-07T08:24:12.000000","","web","  "
"186","82","14","4","2024-03-17T18:00:26.000000","0.26","app","Gift"
"187","163","25","2","2024-02-17T04:15:24.000000","","app","VIP"
"188","94","22","1","2024-02-01T07:44:52.000000","0.29","app","return?"
"189","83","10","4","2024-03-11T03:57:31.000000","","store"," OK "
"190","91","8","2","2024-03-17T19:13:28.000000","0.08","web","gift "
"191","89","32","4","2024-03-22T05:28:19.000000","0.15","app","Gift"
"192","96","36","3","2024-01-27T21:43:05.000000","0.01","app","VIP"
"193","178","28","5","2024-03-04T20:49:22.000000","0.24","web","Gift"
"194","141","22","2","2024-02-23T03:05:30.000000","0.03","store","Gift"
"195","7","31","3","2024-02-10T09:46:45.000000","0.09","app","VIP"
"196","12","10","4","2024-02-05T17:23:25.000000","0.17","web","return?"
"197","5","39","4","2024-01-11T07:26:06.000000","0.01","web","urgent"
"198","139","5","1","2024-01-25T17:37:19.000000","0.02","web","  "
"199","42","24","4","2024-02-19T11:16:36.000000","","store","VIP"
"200","78","14","3","2024-03-20T18:57:51.000000","0.02","web","urgent"
"201","166","37","5","2024-03-18T23:17:52.000000","0.14","store","  "
"202","27","10","4","2024-01-17T21:12:08.000000","0.1","web","return?"
"203","31","26","4","2024-03-02T03:20:13.000000","0.07","store","VIP"
"204","16","7","2","2024-01-08T15:11:34.000000","0.06","app","urgent"
"205","58","8","2","2024-03-01T18:01:41.000000","0.23","web","return?"
"206","18","17","4","2024-01-31T18:33:43.000000","0.29","web","Gift"
"207","126","32","1","2024-02-10T11:40:20.000000","0.04","app","gift "
"208","148","12","3","2024-03-05T14:06:02.000000","0.29","web","Gift"
"209","37","28","5","2024-02-08T05:45:32.000000","0.18","web","  "
"210","105","23","5","2024-03-13T16:03:08.000000","0.19","app"," OK "
"211","61","40","4","2024-02-18T00:32:03.000000","0.21","store","  "
"212","17","13","3","2024-03-30T21:17:08.000000","0.21","app"," OK "
"213","94","10","5","2024-02-27T10:36:00.000000","0.25","store","VIP"
"214","140","37","1","2024-01-27T16:08:31.000000","0.15","app","Gift"
"215","46","14","4","2024-03-10T18:37:15.000000","0.16","app","gift "
"216","158","9","1","2024-02-06T17:09:16.000000","0.1","web","urgent"
"217","199","33","4","2024-02-18T01:48:13.000000","0.03","app"," OK "
"218","12","33","2","2024-01-13T07:32:02.000000","0.2","app"," OK "
"219","33","3","4","2024-01-11T17:46:52.000000","0.01","app","return?"
"220","58","35","4","2024-02-21T17:43:24.000000","0.08","store"," OK "
"221","170","26","5","2024-01-17T19:15:08.000000","0.03","web"," OK "
"222","29","12","4","2024-03-30T18:46:22.000000","","app","gift "
"223","95","22","5","2024-03-18T00:15:18.000000","0.19","app","return?"
"224","108","10","1","2024-03-04T01:54:10.000000","0.19","web"," OK "
"225","26","7","2","2024-03-07T02:57:01.000000","0.13","web","urgent"
"226","9","6","3","2024-02-23T13:39:35.000000","0.03","store","gift "
"227","24","7","1","2024-01-06T10:13:38.000000","0.13","web","gift "
"228","12","24","1","2024-02-05T07:31:02.000000","0.11","app","urgent"
"229","101","33","1","2024-02-14T14:55:52.000000","0.22","app","return?"
"230","188","20","4","2024-03-23T09:02:43.000000","0.17","store","Gift"
"231","71","1","3","2024-01-20T18:06:03.000000","","app","  "
"232","52","18","4","2024-02-14T17:20:23.000000","0.15","web","gift "
"233","47","30","5","2024-01-31T23:11:01.000000","0.29","web","  "
"234","197","34","1","2024-01-13T02:13:57.000000","0.23","app","return?"
"235","192","30","5","2024-01-10T06:31:07.000000","0.15","web","Gift"
"236","130","15","2","2024-02-02T21:13:02.000000","","app","VIP"
"237","93","26","3","2024-01-08T10:01:47.000000","0.01","web","Gift"
"238","32","3","5","2024-01-07T01:04:48.000000","0.28","web","Gift"
"239","186","17","2","2024-02-01T13:52:32.000000","0.1","store"," OK "
"240","1","22","5","2024-01-19T04:16:28.000000","0.08","store","Gift"
"241","33","2","3","2024-02-19T22:23:18.000000","0.3","app","  "
"242","136","1","1","2024-01-02T14:09:52.000000","0.22","web","  "
"243","37","33","5","2024-01-28T03:54:55.000000","","store","gift "
"244","22","9","1","2024-02-10T19:05:04.000000","0.02","app","Gift"
"245","120","6","4","2024-03-27T16:23:29.000000","0.01","store","urgent"
"246","6","24","3","2024-02-27T02:36:25.000000","0.18","web","return?"
"247","54","12","1","2024-03-20T06:21:13.000000","0.02","web","Gift"
"248","129","40","3","2024-01-31T21:30:42.000000","0.28","app","Gift"
"249","37","38","2","2024-02-10T11:22:24.000000","0.28","store","return?"
"250","152","33","1","2024-02-07T20:01:28.000000","","web","  "
"251","19","13","3","2024-03-20T20:46:20.000000","0.18","web","VIP"
"252","123","36","1","2024-03-27T07:53:31.000000","0.09","app","Gift"
"253","16","11","3","2024-03-27T14:38:30.000000","0.02","store","gift "
"254","147","10","2","2024-03-08T16:14:25.000000","0.22","app","VIP"
"255","151","39","5","2024-02-15T06:43:13.000000","0.03","store","return?"
"256","159","27","5","2024-02-18T16:15:01.000000","0.03","app","VIP"
"257","57","4","5","2024-03-29T05:54:07.000000","0.09","store","gift "
"258","48","36","5","2024-01-26T14:36:29.000000","","app","  "
"259","196","7","1","2024-02-01T04:53:17.000000","0.13","web","Gift"
"260","146","28","3","2024-03-21T17:30:47.000000","","app","gift "
"261","37","18","2","2024-02-04T18:27:21.000000","0.24","app","Gift"
"262","6","1","1","2024-01-22T03:48:35.000000","0.18","web"," OK "
"263","71","32","2","2024-02-20T10:36:50.000000","0.25","web","return?"
"264","134","28","3","2024-01-30T06:44:25.000000","0.12","app"," OK "
"265","75","36","2","2024-03-21T04:17:11.000000","0.25","app","urgent"
"266","162","25","1","2024-03-22T19:34:47.000000","0.15","web","urgent"
"267","101","31","3","2024-01-28T12:58:54.000000","0.07","store","urgent"
"268","199","37","1","2024-02-17T15:48:39.000000","0.28","web","gift "
"269","175","40","1","2024-03-29T13:25:24.000000","0.08","web","return?"
"270","95","23","3","2024-03-07T19:24:24.000000","","web","Gift"
"271","167","1","1","2024-01-20T09:45:18.000000","0.07","web","VIP"
"272","90","14","5","2024-02-23T04:00:31.000000","0.11","web","VIP"
"273","2","25","5","2024-02-25T18:57:48.000000","0.11","app","VIP"
"274","62","5","5","2024-02-28T19:25:43.000000","0.16","app","  "
"275","82","5","1","2024-01-03T06:01:21.000000","","app","VIP"
"276","196","16","3","2024-01-27T22:40:04.000000","0.09","store","VIP"
"277","166","37","5","2024-03-17T21:57:57.000000","0.16","store","  "
"278","30","13","3","2024-01-22T17:21:49.000000","0.1","web","gift "
"279","1","38","2","2024-01-27T23:20:33.000000","0.25","web"," OK "
"280","106","33","5","2024-01-30T00:35:00.000000","0.05","web","gift "
"281","107","13","2","2024-01-16T23:09:27.000000","0.03","app","VIP"
"282","148","10","5","2024-01-14T23:45:13.000000","0.15","web","Gift"
"283","52","34","1","2024-02-01T05:33:12.000000","0.2","app","urgent"
"284","163","31","4","2024-03-19T16:31:08.000000","0.24","app","  "
"285","83","26","1","2024-01-01T03:18:55.000000","","app"," OK "
"286","67","40","5","2024-01-26T11:48:48.000000","","web","VIP"
"287","85","5","2","2024-01-06T10:57:15.000000","","web","return?"
"288","189","16","1","2024-02-20T12:49:01.000000","0.01","web","gift "
"289","79","25","5","2024-01-23T13:17:59.000000","0.03","app"," OK "
"290","113","3","5","2024-03-12T06:39:53.000000","0.01","app","urgent"
"291","179","40","5","2024-02-22T15:38:10.000000","0.1","app"," OK "
"292","4","23","3","2024-03-11T13:03:36.000000","0.15","app","gift "
"293","108","13","1","2024-02-27T03:24:02.000000","0.11","app","Gift"
"294","142","10","2","2024-02-09T10:54:51.000000","0.17","web","VIP"
"295","181","1","1","2024-03-18T11:41:19.000000","","web","VIP"
"296","13","24","1","2024-02-12T20:42:56.000000","0.2","web","gift "
"297","146","40","1","2024-03-26T11:51:30.000000","0.2","web","return?"
"298","161","2","3","2024-03-30T12:33:20.000000","0.1","web","gift "
"299","71","17","4","2024-02-23T00:17:09.000000","0.1","app"," OK "
"300","150","27","3","2024-03-01T17:07:49.000000","0.18","web","return?"
"301","99","18","2","2024-01-24T00:13:52.000000","0.18","web","Gift"
"302","132","27","4","2024-03-14T07:37:08.000000","0.09","web","return?"
"303","78","29","2","2024-03-01T10:38:21.000000","0.1","web","VIP"
"304","36","39","3","2024-03-22T05:30:59.000000","","web","return?"
"305","166","25","5","2024-01-25T00:44:16.000000","0.19","web","  "
"306","44","29","1","2024-03-11T21:11:38.000000","0.04","web","  "
"307","38","13","5","2024-02-12T07:47:44.000000","","store","urgent"
"308","178","7","2","2024-01-17T15:59:14.000000","0.27","web","urgent"
"309","188","4","4","2024-01-16T09:47:04.000000","0.01","web","Gift"
"310","122","5","2","2024-02-20T14:17:19.000000","0.26","web","Gift"
"311","117","34","1","2024-01-29T18:00:39.000000","0.05","web","  "
"312","73","2","3","2024-01-10T04:05:28.000000","0.15","app","return?"
"313","123","20","2","2024-02-08T10:38:09.000000","0.13","web"," OK "
"314","122","25","3","2024-02-28T18:18:42.000000","0.0","store","  "
"315","104","27","2","2024-01-29T16:55:48.000000","0.27","store","VIP"
"316","132","3","5","2024-03-26T23:33:17.000000","0.14","app","gift "
"317","111","35","4","2024-03-11T03:49:20.000000","0.29","web","urgent"
"318","176","18","5","2024-02-16T03:30:04.000000","0.09","web","gift "
"319","134","1","4","2024-03-25T02:51:07.000000","0.26","web","VIP"
"320","78","6","4","2024-02-08T23:13:14.000000","","app","return?"
"321","132","35","1","2024-01-13T13:41:02.000000","0.17","web","  "
"322","47","38","3","2024-01-04T05:25:13.000000","0.06","app","gift "
"323","43","31","5","2024-03-25T10:07:51.000000","0.21","web","  "
"324","166","14","1","2024-03-27T09:06:46.000000","0.16","web","  "
"325","117","38","3","2024-03-07T12:46:49.000000","0.28","web","VIP"
"326","11","12","1","2024-01-10T06:29:08.000000","0.13","web","urgent"
"327","71","10","4","2024-01-27T10:17:06.000000","0.08","app"," OK "
"328","197","31","5","2024-01-04T16:43:51.000000","0.04","app","Gift"
"329","128","13","1","2024-01-05T14:41:48.000000","0.21","web","urgent"
"330","174","21","5","2024-01-23T03:30:13.000000","0.29","web","  "
"331","110","27","2","2024-02-21T11:49:34.000000","0.01","store","gift "
"332","9","7","5","2024-01-06T21:32:44.000000","","web","return?"
"333","36","38","1","2024-03-29T14:44:18.000000","0.28","app","VIP"
"334","19","7","1","2024-02-10T23:03:16.000000","0.02","web","urgent"
"335","147","40","4","2024-01-24T17:54:22.000000","0.03","app","VIP"
"336","152","12","4","2024-02-16T10:44:58.000000","0.21","app","VIP"
"337","92","17","1","2024-03-12T02:44:07.000000","0.19","web","Gift"
"338","145","11","1","2024-01-29T03:09:03.000000","0.02","app"," OK "
"339","111","22","2","2024-01-05T06:37:46.000000","0.25","app","VIP"
"340","148","1","1","2024-01-05T14:04:28.000000","0.16","web","urgent"
"341","135","7","4","2024-03-17T16:17:22.000000","0.27","app","urgent"
"342","92","21","4","2024-01-11T01:03:24.000000","0.26","web","gift "
"343","131","28","4","2024-02-27T04:49:01.000000","0.24","web"," OK "
"344","64","39","3","2024-02-04T14:31:46.000000","0.15","app","Gift"
"345","150","34","4","2024-03-10T23:26:13.000000","0.08","store","urgent"
"346","183","37","3","2024-01-06T10:44:29.000000","0.15","web"," OK "
"347","42","32","4","2024-03-21T19:13:52.000000","0.03","app","return?"
"348","134","32","3","2024-03-03T20:05:23.000000","0.2","web","urgent"
"349","23","14","4","2024-02-10T10:26:23.000000","0.04","app","gift "
"350","76","37","4","2024-01-19T15:09:51.000000","0.15","web","VIP"
"351","134","39","4","2024-03-28T22:37:35.000000","0.02","app","gift "
"352","56","21","5","2024-01-28T04:28:28.000000","","web","Gift"
"353","48","5","2","2024-02-14T03:30:22.000000","0.07","web","VIP"
"354","77","2","5","2024-02-05T11:18:42.000000","0.19","app","  "
"355","23","20","1","2024-01-21T17:59:19.000000","0.24","web"," OK "
"356","126","26","3","2024-02-07T11:52:36.000000","0.02","web","VIP"
"357","27","23","3","2024-01-14T15:12:23.000000","","web"," OK "
"358","67","36","5","2024-01-01T03:35:13.000000","0.26","app","VIP"
"359","63","22","1","2024-01-27T02:23:05.000000","0.1","web"," OK "
"360","194","27","2","2024-01-11T02:04:19.000000","0.2","app"," OK "
"361","199","31","3","2024-02-07T07:55:20.000000","0.12","web"," OK "
"362","16","36","5","2024-03-18T15:34:17.000000","0.05","app","VIP"
"363","32","25","3","2024-01-15T15:08:58.000000","0.16","store","gift "
"364","147","23","4","2024-01-01T02:39:48.000000","0.03","web","  "
"365","60","4","1","2024-01-10T23:57:47.000000","0.26","app","urgent"
"366","129","26","5","2024-02-15T17:38:29.000000","0.28","web"," OK "
"367","185","8","4","2024-01-25T17:39:01.000000","0.25","web","VIP"
"368","33","15","1","2024-02-14T01:19:27.000000","","app","VIP"
"369","193","22","4","2024-01-03T15:10:31.000000","","store","VIP"
"370","11","4","1","2024-01-30T23:29:00.000000","0.3","app"," OK "
"371","46","28","3","2024-02-06T21:53:26.000000","0.07","store","return?"
"372","102","12","4","2024-02-08T19:39:58.000000","0.02","web","gift "
"373","177","21","5","2024-02-19T14:30:06.000000","0.17","app","urgent"
"374","111","15","1","2024-03-11T06:03:18.000000","0.1","web","urgent"
"375","28","15","2","2024-02-12T01:12:59.000000","0.1","store","gift "
"376","50","16","4","2024-03-16T17:00:00.000000","0.0","app","  "
"377","153","3","2","2024-02-17T16:13:42.000000","0.18","web"," OK "
"378","113","8","4","2024-01-24T10:21:10.000000","0.08","app","gift "
"379","3","32","1","2024-01-21T14:40:45.000000","0.06","app","urgent"
"380","101","5","1","2024-01-30T00:34:45.000000","0.01","store","return?"
"381","82","20","3","2024-02-23T18:31:19.000000","0.11","app","  "
"382","1","6","4","2024-01-22T19:45:46.000000","0.26","store","Gift"
"383","50","22","2","2024-03-23T06:36:53.000000","","app","Gift"
"384","188","26","5","2024-02-13T04:30:17.000000","0.2","app","VIP"
"385","141","19","5","2024-03-18T16:40:09.000000","0.23","app","  "
"386","15","31","1","2024-03-02T11:50:16.000000","","web","Gift"
"387","4","11","2","2024-01-31T00:02:28.000000","0.25","web","VIP"
"388","70","23","3","2024-01-21T13:01:34.000000","0.21","store","  "
"389","93","12","3","2024-03-07T22:55:09.000000","","store"," OK "
"390","91","21","2","2024-01-30T18:23:21.000000","0.0","store","  "
"391","140","3","3","2024-01-23T05:14:03.000000","0.01","web","return?"
"392","35","11","5","2024-03-24T17:37:50.000000","0.3","web","return?"
"393","10","29","2","2024-02-13T10:28:50.000000","","store"," OK "
"394","135","32","2","2024-01-05T08:54:34.000000","0.28","web","return?"
"395","180","11","4","2024-02-14T12:41:53.000000","0.27","web","return?"
"396","34","11","3","2024-02-11T11:15:44.000000","0.01","web","urgent"
"397","73","12","4","2024-03-18T18:10:19.000000","0.24","store","  "
